continent,region,subregion,country
Asia,Southern Asia,Southern Asia,Afghanistan
Europe,Southern Europe,Southern Europe,Albania
Americas,Northern America,Northern America,Antarctica
Africa,Northern Africa,Northern Africa,Algeria
Oceania,Polynesia,Polynesia,American Samoa
Europe,Southern Europe,Southern Europe,Andorra
Africa,Sub-Saharan Africa,Middle Africa,Angola
Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda
Asia,Western Asia,Western Asia,Azerbaijan
Americas,South America,South America,Argentina
Oceania,Australia and New Zealand,Australia and New Zealand,Australia
Europe,Western Europe,Western Europe,Austria
Americas,Latin America and the Caribbean,Caribbean,Bahamas
Asia,Western Asia,Western Asia,Bahrain
Asia,Southern Asia,Southern Asia,Bangladesh
Asia,Western Asia,Western Asia,Armenia
Americas,Latin America and the Caribbean,Caribbean,Barbados
Europe,Western Europe,Western Europe,Belgium
Americas,Northern America,Northern America,Bermuda
Asia,Southern Asia,Southern Asia,Bhutan
Americas,South America,South America,Bolivia
Europe,Southern Europe,Southern Europe,Bosnia and Herzegovina
Africa,Sub-Saharan Africa,Southern Africa,Botswana
Americas,South America,South America,Bouvet Island
Americas,South America,South America,Brazil
Americas,Central America,Central America,Belize
Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory
Oceania,Melanesia,Melanesia,Solomon Islands
Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands
Asia,South-eastern Asia,South-eastern Asia,Brunei
Europe,Eastern Europe,Eastern Europe,Bulgaria
Asia,South-eastern Asia,South-eastern Asia,Myanmar
Africa,Sub-Saharan Africa,Eastern Africa,Burundi
Europe,Eastern Europe,Eastern Europe,Belarus
Asia,South-eastern Asia,South-eastern Asia,Cambodia
Africa,Sub-Saharan Africa,Middle Africa,Cameroon
Americas,Northern America,Northern America,Canada
Africa,Sub-Saharan Africa,Western Africa,Cape Verde
Americas,Latin America and the Caribbean,Caribbean,Cayman Islands
Africa,Sub-Saharan Africa,Middle Africa,Central African Republic
Asia,Southern Asia,Southern Asia,Sri Lanka
Africa,Sub-Saharan Africa,Middle Africa,Chad
Americas,South America,South America,Chile
Asia,Eastern Asia,Eastern Asia,China
Oceania,Australia and New Zealand,Australia and New Zealand,Christmas Island
Oceania,Australia and New Zealand,Australia and New Zealand,Cocos (Keeling) Islands
Americas,South America,South America,Colombia
Africa,Sub-Saharan Africa,Eastern Africa,Comoros
Africa,Sub-Saharan Africa,Eastern Africa,Mayotte
Africa,Sub-Saharan Africa,Middle Africa,Republic of the Congo
Africa,Sub-Saharan Africa,Middle Africa,Democratic Republic of the Congo
Oceania,Polynesia,Polynesia,Cook Islands
Americas,Central America,Central America,Costa Rica
Europe,Southern Europe,Southern Europe,Croatia
Americas,Latin America and the Caribbean,Caribbean,Cuba
Asia,Western Asia,Western Asia,Cyprus
Europe,Eastern Europe,Eastern Europe,Czechia
Africa,Sub-Saharan Africa,Western Africa,Benin
Europe,Northern Europe,Channel Islands,Denmark
Americas,Latin America and the Caribbean,Caribbean,Dominica
Americas,Latin America and the Caribbean,Caribbean,Dominican Republic
Americas,South America,South America,Ecuador
Americas,Central America,Central America,El Salvador
Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea
Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia
Africa,Sub-Saharan Africa,Eastern Africa,Eritrea
Europe,Northern Europe,Northern Europe,Estonia
Europe,Northern Europe,Northern Europe,Faroe Islands
Americas,South America,South America,Falkland Islands
Americas,South America,South America,South Georgia and the South Sandwich Islands
Oceania,Melanesia,Melanesia,Fiji
Europe,Northern Europe,Northern Europe,Finland
Europe,Northern Europe,Northern Europe,Åland Islands
Europe,Western Europe,Western Europe,France
Americas,South America,South America,French Guiana
Oceania,Polynesia,Polynesia,French Polynesia
Africa,Sub-Saharan Africa,Eastern Africa,French Southern Territories
Africa,Sub-Saharan Africa,Eastern Africa,Djibouti
Africa,Sub-Saharan Africa,Middle Africa,Gabon
Asia,Western Asia,Western Asia,Georgia
Africa,Sub-Saharan Africa,Western Africa,Gambia
Asia,Western Asia,Western Asia,Palestine
Europe,Western Europe,Western Europe,Germany
Africa,Sub-Saharan Africa,Western Africa,Ghana
Europe,Southern Europe,Southern Europe,Gibraltar
Oceania,Micronesia,Micronesia,Kiribati
Europe,Southern Europe,Southern Europe,Greece
Americas,Northern America,Northern America,Greenland
Americas,Latin America and the Caribbean,Caribbean,Grenada
Americas,Latin America and the Caribbean,Caribbean,Guadeloupe
Oceania,Micronesia,Micronesia,Guam
Americas,Central America,Central America,Guatemala
Africa,Sub-Saharan Africa,Western Africa,Guinea
Americas,South America,South America,Guyana
Americas,Latin America and the Caribbean,Caribbean,Haiti
Oceania,Australia and New Zealand,Australia and New Zealand,Heard Island and McDonald Islands
Europe,Southern Europe,Southern Europe,Holy See
Americas,Central America,Central America,Honduras
Asia,Eastern Asia,Eastern Asia,China
Europe,Eastern Europe,Eastern Europe,Hungary
Europe,Northern Europe,Northern Europe,Iceland
Asia,Southern Asia,Southern Asia,India
Asia,South-eastern Asia,South-eastern Asia,Indonesia
Asia,Southern Asia,Southern Asia,Iran
Asia,Western Asia,Western Asia,Iraq
Europe,Northern Europe,Northern Europe,Ireland
Asia,Western Asia,Western Asia,Israel
Europe,Southern Europe,Southern Europe,Italy
Africa,Sub-Saharan Africa,Western Africa,Côte d’Ivoire
Americas,Latin America and the Caribbean,Caribbean,Jamaica
Asia,Eastern Asia,Eastern Asia,Japan
Asia,Central Asia,Central Asia,Kazakhstan
Asia,Western Asia,Western Asia,Jordan
Africa,Sub-Saharan Africa,Eastern Africa,Kenya
Asia,Eastern Asia,Eastern Asia,South Korea
Asia,Eastern Asia,Eastern Asia,North Korea
Asia,Western Asia,Western Asia,Kuwait
Asia,Central Asia,Central Asia,Kyrgyzstan
Asia,South-eastern Asia,South-eastern Asia,Laos
Asia,Western Asia,Western Asia,Lebanon
Africa,Sub-Saharan Africa,Southern Africa,Lesotho
Europe,Northern Europe,Northern Europe,Latvia
Africa,Sub-Saharan Africa,Western Africa,Liberia
Africa,Northern Africa,Northern Africa,Libya
Europe,Western Europe,Western Europe,Liechtenstein
Europe,Northern Europe,Northern Europe,Lithuania
Europe,Western Europe,Western Europe,Luxembourg
Asia,Eastern Asia,Eastern Asia,China
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar
Africa,Sub-Saharan Africa,Eastern Africa,Malawi
Asia,South-eastern Asia,South-eastern Asia,Malaysia
Asia,Southern Asia,Southern Asia,Maldives
Africa,Sub-Saharan Africa,Western Africa,Mali
Europe,Southern Europe,Southern Europe,Malta
Americas,Latin America and the Caribbean,Caribbean,Martinique
Africa,Sub-Saharan Africa,Western Africa,Mauritania
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius
Americas,Central America,Central America,Mexico
Europe,Western Europe,Western Europe,Monaco
Asia,Eastern Asia,Eastern Asia,Mongolia
Europe,Eastern Europe,Eastern Europe,Moldova
Europe,Southern Europe,Southern Europe,Montenegro
Americas,Latin America and the Caribbean,Caribbean,Montserrat
Africa,Northern Africa,Northern Africa,Morocco
Africa,Sub-Saharan Africa,Eastern Africa,Mozambique
Asia,Western Asia,Western Asia,Oman
Africa,Sub-Saharan Africa,Southern Africa,Namibia
Oceania,Micronesia,Micronesia,Nauru
Asia,Southern Asia,Southern Asia,Nepal
Europe,Western Europe,Western Europe,Netherlands
Americas,Latin America and the Caribbean,Caribbean,Curaçao
Americas,Latin America and the Caribbean,Caribbean,Aruba
Americas,Latin America and the Caribbean,Caribbean,Sint Maarten
Americas,Latin America and the Caribbean,Caribbean,Bonaire
Oceania,Melanesia,Melanesia,New Caledonia
Oceania,Melanesia,Melanesia,Vanuatu
Oceania,Australia and New Zealand,Australia and New Zealand,New Zealand
Americas,Central America,Central America,Nicaragua
Africa,Sub-Saharan Africa,Western Africa,Niger
Africa,Sub-Saharan Africa,Western Africa,Nigeria
Oceania,Polynesia,Polynesia,Niue
Oceania,Australia and New Zealand,Australia and New Zealand,Norfolk Island
Europe,Northern Europe,Northern Europe,Norway
Oceania,Micronesia,Micronesia,Northern Mariana Islands
Oceania,Micronesia,Micronesia,United States Minor Outlying Islands
Oceania,Micronesia,Micronesia,Micronesia 
Oceania,Micronesia,Micronesia,Marshall Islands
Oceania,Micronesia,Micronesia,Palau
Asia,Southern Asia,Southern Asia,Pakistan
Americas,Central America,Central America,Panama
Oceania,Melanesia,Melanesia,Papua New Guinea
Americas,South America,South America,Paraguay
Americas,South America,South America,Peru
Asia,South-eastern Asia,South-eastern Asia,Philippines
Oceania,Polynesia,Polynesia,Pitcairn
Europe,Eastern Europe,Eastern Europe,Poland
Europe,Southern Europe,Southern Europe,Portugal
Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau
Asia,South-eastern Asia,South-eastern Asia,Timor Leste
Americas,Latin America and the Caribbean,Caribbean,Puerto Rico
Asia,Western Asia,Western Asia,Qatar
Africa,Sub-Saharan Africa,Eastern Africa,Réunion
Europe,Eastern Europe,Eastern Europe,Romania
Europe,Eastern Europe,Eastern Europe,Russia
Africa,Sub-Saharan Africa,Eastern Africa,Rwanda
Americas,Latin America and the Caribbean,Caribbean,Saint Barthélemy
Africa,Sub-Saharan Africa,Western Africa,Saint Helena
Americas,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis
Americas,Latin America and the Caribbean,Caribbean,Anguilla
Americas,Latin America and the Caribbean,Caribbean,Saint Lucia
Americas,Latin America and the Caribbean,Caribbean,Saint Martin
Americas,Northern America,Northern America,Saint Pierre and Miquelon
Americas,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines
Europe,Southern Europe,Southern Europe,San Marino
Africa,Sub-Saharan Africa,Middle Africa,Sao Tome and Principe
Europe,Northern Europe,Channel Islands,Sark
Asia,Western Asia,Western Asia,Saudi Arabia
Africa,Sub-Saharan Africa,Western Africa,Senegal
Europe,Southern Europe,Southern Europe,Serbia
Africa,Sub-Saharan Africa,Eastern Africa,Seychelles
Africa,Sub-Saharan Africa,Western Africa,Sierra Leone
Asia,South-eastern Asia,South-eastern Asia,Singapore
Europe,Eastern Europe,Eastern Europe,Slovakia
Asia,South-eastern Asia,South-eastern Asia,Vietnam
Europe,Southern Europe,Southern Europe,Slovenia
Africa,Sub-Saharan Africa,Eastern Africa,Somalia
Africa,Sub-Saharan Africa,Southern Africa,South Africa
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe
Europe,Southern Europe,Southern Europe,Spain
Africa,Sub-Saharan Africa,Eastern Africa,South Sudan
Africa,Northern Africa,Northern Africa,Sudan
Africa,Northern Africa,Northern Africa,Western Sahara
Americas,South America,South America,Suriname
Europe,Northern Europe,Northern Europe,Svalbard and Jan Mayen Islands
Africa,Sub-Saharan Africa,Southern Africa,Eswatini
Europe,Northern Europe,Northern Europe,Sweden
Europe,Western Europe,Western Europe,Switzerland
Asia,Western Asia,Western Asia,Syria
Asia,Central Asia,Central Asia,Tajikistan
Asia,South-eastern Asia,South-eastern Asia,Thailand
Africa,Sub-Saharan Africa,Western Africa,Togo
Oceania,Polynesia,Polynesia,Tokelau
Oceania,Polynesia,Polynesia,Tonga
Americas,Latin America and the Caribbean,Caribbean,Trinidad and Tobago
Asia,Western Asia,Western Asia,United Arab Emirates
Africa,Northern Africa,Northern Africa,Tunisia
Asia,Western Asia,Western Asia,Turkey
Asia,Central Asia,Central Asia,Turkmenistan
Americas,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands
Oceania,Polynesia,Polynesia,Tuvalu
Africa,Sub-Saharan Africa,Eastern Africa,Uganda
Europe,Eastern Europe,Eastern Europe,Ukraine
Europe,Southern Europe,Southern Europe,North Macedonia
Africa,Northern Africa,Northern Africa,Egypt
Europe,Northern Europe,Northern Europe,United Kingdom
Europe,Northern Europe,Channel Islands,Guernsey
Europe,Northern Europe,Channel Islands,Jersey
Europe,Northern Europe,Northern Europe,Isle of Man
Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania
Americas,Northern America,Northern America,United States of America
Americas,Latin America and the Caribbean,Caribbean,United States Virgin Islands
Africa,Sub-Saharan Africa,Western Africa,Burkina Faso
Americas,South America,South America,Uruguay
Asia,Central Asia,Central Asia,Uzbekistan
Americas,South America,South America,Venezuela
Oceania,Polynesia,Polynesia,Wallis and Futuna Islands
Oceania,Polynesia,Polynesia,Samoa
Asia,Western Asia,Western Asia,Yemen
Africa,Sub-Saharan Africa,Eastern Africa,Zambia
Asia,,,European Union
Europe,Eastern Asia,Eastern Asia,Hong Kong
Americas,Western Asia,Western Asia,Northern Cyprus
Africa,Southern Europe,Southern Europe,Vatican
Oceania,Sub-Saharan Africa,Western Africa,Ivory Coast
Europe,Southern Europe,Southern Europe,Kosovo
Africa,Eastern Asia,Eastern Asia,Macau
Americas,Eastern Asia,Eastern Asia,Taiwan
Asia,Sub-Saharan Africa,Eastern Africa,Tanzania
